month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2024-10-01T00:00:00.000,B DIVISION,F,2,1280,1251,0.97734374
2024-10-01T00:00:00.000,B DIVISION,FS,1,828,808,0.9758454
2024-10-01T00:00:00.000,B DIVISION,FS,2,704,700,0.9943182
2024-10-01T00:00:00.000,B DIVISION,G,1,1081,1026,0.9491212
2024-10-01T00:00:00.000,B DIVISION,G,2,928,914,0.98491377
2024-10-01T00:00:00.000,B DIVISION,H,1,483,488,1.010352
2024-10-01T00:00:00.000,B DIVISION,H,2,226,224,0.99115044
2024-10-01T00:00:00.000,B DIVISION,JZ,1,1219,1173,0.9622642
2024-10-01T00:00:00.000,B DIVISION,JZ,2,220,207,0.9409091
2024-10-01T00:00:00.000,B DIVISION,L,1,2207,2191,0.99275035
2024-10-01T00:00:00.000,B DIVISION,L,2,1596,1559,0.9768171
2024-10-01T00:00:00.000,B DIVISION,M,1,2093,2003,0.95699954
2024-10-01T00:00:00.000,B DIVISION,M,2,220,211,0.9590909
2024-10-01T00:00:00.000,B DIVISION,N,1,2093,1952,0.93263257
2024-10-01T00:00:00.000,B DIVISION,N,2,1278,1253,0.9804382
2024-10-01T00:00:00.000,B DIVISION,Q,1,2369,2223,0.93837065
2024-10-01T00:00:00.000,B DIVISION,Q,2,1114,1091,0.97935367
2024-10-01T00:00:00.000,B DIVISION,R,1,2369,2172,0.9168425
2024-10-01T00:00:00.000,B DIVISION,R,2,1200,1156,0.9633333
2024-10-01T00:00:00.000,B DIVISION,W,1,897,819,0.9130435
2024-11-01T00:00:00.000,A DIVISION,1,1,1680,1643,0.9779762
2024-11-01T00:00:00.000,A DIVISION,1,2,1482,1447,0.97638327
2024-11-01T00:00:00.000,A DIVISION,2,1,2220,2076,0.9351351
2024-11-01T00:00:00.000,A DIVISION,2,2,2175,2093,0.96229887
2024-11-01T00:00:00.000,A DIVISION,3,1,2060,2002,0.9718447
2024-11-01T00:00:00.000,A DIVISION,3,2,1854,1801,0.97141314
2024-11-01T00:00:00.000,A DIVISION,4,1,2759,2680,0.97136647
2024-11-01T00:00:00.000,A DIVISION,4,2,2711,2561,0.94466984
2024-11-01T00:00:00.000,A DIVISION,5,1,2580,2372,0.91937983
2024-11-01T00:00:00.000,A DIVISION,5,2,1481,1394,0.9412559
2024-11-01T00:00:00.000,A DIVISION,6,1,2059,1945,0.9446333
2024-11-01T00:00:00.000,A DIVISION,6,2,1405,1370,0.97508895
2024-11-01T00:00:00.000,A DIVISION,7,1,2678,2556,0.95444363
2024-11-01T00:00:00.000,A DIVISION,7,2,1264,1230,0.97310126
2024-11-01T00:00:00.000,A DIVISION,GS,1,2020,2002,0.9910891
2024-11-01T00:00:00.000,A DIVISION,GS,2,1848,1797,0.9724026
2024-11-01T00:00:00.000,B DIVISION,A,1,2569,2380,0.9264305
2024-11-01T00:00:00.000,B DIVISION,A,2,1528,1434,0.9384817
2024-11-01T00:00:00.000,B DIVISION,B,1,1606,1380,0.8592777
2024-11-01T00:00:00.000,B DIVISION,C,1,1520,1391,0.91513157
2024-11-01T00:00:00.000,B DIVISION,C,2,800,759,0.94875
2024-11-01T00:00:00.000,B DIVISION,D,1,1902,1761,0.9258675
2024-11-01T00:00:00.000,B DIVISION,D,2,1280,1250,0.9765625
2024-11-01T00:00:00.000,B DIVISION,E,1,1560,1369,0.87756413
2024-11-01T00:00:00.000,B DIVISION,E,2,1120,1100,0.98214287
2024-11-01T00:00:00.000,B DIVISION,F,1,2900,2649,0.9134483
2024-11-01T00:00:00.000,B DIVISION,F,2,1600,1581,0.988125
2024-11-01T00:00:00.000,B DIVISION,FS,1,720,717,0.99583334
2024-11-01T00:00:00.000,B DIVISION,FS,2,880,880,1.0
2024-11-01T00:00:00.000,B DIVISION,G,1,940,914,0.9723404
2024-11-01T00:00:00.000,B DIVISION,G,2,1638,1632,0.996337
2024-11-01T00:00:00.000,B DIVISION,H,1,420,429,1.0214286
2024-11-01T00:00:00.000,B DIVISION,H,2,113,113,1.0
2024-11-01T00:00:00.000,B DIVISION,JZ,1,1034,990,0.9574468
2024-11-01T00:00:00.000,B DIVISION,JZ,2,880,857,0.97386366
2024-11-01T00:00:00.000,B DIVISION,L,1,1919,1900,0.990099
2024-11-01T00:00:00.000,B DIVISION,L,2,1513,1456,0.9623265
2024-11-01T00:00:00.000,B DIVISION,M,1,1820,1705,0.9368132
2024-11-01T00:00:00.000,B DIVISION,M,2,880,853,0.9693182
2024-11-01T00:00:00.000,B DIVISION,N,1,1819,1704,0.9367784
2024-11-01T00:00:00.000,B DIVISION,N,2,1600,1547,0.966875
2024-11-01T00:00:00.000,B DIVISION,Q,1,2060,1959,0.9509709
2024-11-01T00:00:00.000,B DIVISION,Q,2,1718,1709,0.99476135
2024-11-01T00:00:00.000,B DIVISION,R,1,2060,1829,0.88786405
2024-11-01T00:00:00.000,B DIVISION,R,2,1600,1562,0.97625
2024-11-01T00:00:00.000,B DIVISION,W,1,780,702,0.9
2024-11-01T00:00:00.000,B DIVISION,W,2,142,139,0.97887325
2024-12-01T00:00:00.000,A DIVISION,1,1,1753,1663,0.9486594
2024-12-01T00:00:00.000,A DIVISION,1,2,1482,1372,0.925776
2024-12-01T00:00:00.000,A DIVISION,2,1,2330,2181,0.9360515
2024-12-01T00:00:00.000,A DIVISION,2,2,1816,1772,0.97577095
2024-12-01T00:00:00.000,A DIVISION,3,1,2163,2074,0.9588534
2024-12-01T00:00:00.000,A DIVISION,3,2,1344,1294,0.96279764
2024-12-01T00:00:00.000,A DIVISION,4,1,2898,2788,0.9620428
2024-12-01T00:00:00.000,A DIVISION,4,2,2381,2333,0.9798404
2024-12-01T00:00:00.000,A DIVISION,5,1,2719,2488,0.9150423
2024-12-01T00:00:00.000,A DIVISION,5,2,1503,1460,0.97139055
2024-12-01T00:00:00.000,A DIVISION,6,1,2141,2057,0.960766
2024-12-01T00:00:00.000,A DIVISION,6,2,1470,1447,0.9843537
2024-12-01T00:00:00.000,A DIVISION,7,1,2810,2650,0.9430605
2024-12-01T00:00:00.000,A DIVISION,7,2,1544,1529,0.990285
2024-12-01T00:00:00.000,A DIVISION,GS,1,2121,2110,0.99481374
2024-12-01T00:00:00.000,A DIVISION,GS,2,1812,1798,0.99227375
2024-12-01T00:00:00.000,B DIVISION,A,1,2687,2545,0.947153
2024-12-01T00:00:00.000,B DIVISION,A,2,1717,1627,0.947583
2024-12-01T00:00:00.000,B DIVISION,B,1,1772,1620,0.9142212
2024-12-01T00:00:00.000,B DIVISION,C,1,1596,1511,0.9467419
2024-12-01T00:00:00.000,B DIVISION,C,2,1440,1381,0.95902777
2024-12-01T00:00:00.000,B DIVISION,D,1,2002,1892,0.94505495
2024-12-01T00:00:00.000,B DIVISION,D,2,1600,1566,0.97875
2024-12-01T00:00:00.000,B DIVISION,E,1,1638,1186,0.72405374
2024-12-01T00:00:00.000,B DIVISION,E,2,800,793,0.99125
2024-12-01T00:00:00.000,B DIVISION,F,1,3045,2553,0.83842367
2024-12-01T00:00:00.000,B DIVISION,F,2,1600,1584,0.99
2024-12-01T00:00:00.000,B DIVISION,FS,1,756,750,0.99206346
2024-12-01T00:00:00.000,B DIVISION,FS,2,832,828,0.9951923
2024-12-01T00:00:00.000,B DIVISION,G,1,987,951,0.96352583
2024-12-01T00:00:00.000,B DIVISION,G,2,2232,2187,0.9798387
2024-12-01T00:00:00.000,B DIVISION,H,1,441,451,1.0226758
2024-12-01T00:00:00.000,B DIVISION,H,2,548,518,0.94525546
2024-12-01T00:00:00.000,B DIVISION,JZ,1,1113,1076,0.9667565
2024-12-01T00:00:00.000,B DIVISION,JZ,2,963,957,0.99376947
2024-12-01T00:00:00.000,B DIVISION,L,1,2015,1946,0.96575683
2024-12-01T00:00:00.000,B DIVISION,L,2,1301,1249,0.96003073
2024-12-01T00:00:00.000,B DIVISION,M,1,1911,1822,0.95342755
2024-12-01T00:00:00.000,B DIVISION,M,2,1080,1065,0.9861111
2024-12-01T00:00:00.000,B DIVISION,N,1,1910,1762,0.92251307
2024-12-01T00:00:00.000,B DIVISION,N,2,1599,1544,0.96560353
2024-12-01T00:00:00.000,B DIVISION,Q,1,2163,1989,0.9195562
2024-12-01T00:00:00.000,B DIVISION,Q,2,1756,1714,0.976082
2024-12-01T00:00:00.000,B DIVISION,R,1,2163,1611,0.7447989
2024-12-01T00:00:00.000,B DIVISION,R,2,1360,1308,0.9617647
2024-12-01T00:00:00.000,B DIVISION,W,1,819,749,0.9145299
2024-12-01T00:00:00.000,B DIVISION,W,2,141,130,0.9219858
