month,division,line,period,num_passengers,additional_platform_time,additional_train_time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer_journey_time
2024-02-01T00:00:00.000,B DIVISION,G,peak,1286429.8,1.5446262,0.76455194,1987053.1,983542.3,264047.5,0.20525607,0.79474396
2024-02-01T00:00:00.000,B DIVISION,JZ,offpeak,1048283.2,1.4008555,0.56622934,1468493.4,593568.75,209553.3,0.19990142,0.8000986
2024-02-01T00:00:00.000,B DIVISION,JZ,peak,1156399.5,1.2055604,0.5027642,1394109.6,581396.3,196674.6,0.17007495,0.82992506
2024-02-01T00:00:00.000,B DIVISION,L,offpeak,2169619.0,0.84678835,0.5369957,1837208.1,1165076.1,201141.3,0.09270812,0.9072919
2024-02-01T00:00:00.000,B DIVISION,L,peak,2290134.0,0.82472837,0.52033734,1888738.5,1191642.4,184231.5,0.08044573,0.9195543
2024-02-01T00:00:00.000,B DIVISION,M,offpeak,691490.6,1.4124751,0.03757752,976713.3,25984.504,114685.0,0.16585186,0.83414817
2024-02-01T00:00:00.000,B DIVISION,M,peak,753468.06,1.510372,0.23509994,1138017.1,177140.3,136640.7,0.18134902,0.81865096
2024-02-01T00:00:00.000,B DIVISION,N,offpeak,2031676.0,1.5860691,0.7503795,3222378.5,1524528.0,408670.0,0.2011492,0.7988508
2024-02-01T00:00:00.000,B DIVISION,N,peak,2319955.2,1.5781602,0.75461423,3661261.0,1750671.1,423220.6,0.1824262,0.8175738
2024-02-01T00:00:00.000,B DIVISION,Q,offpeak,2503881.0,1.360885,0.51376563,3407494.0,1286408.0,480085.9,0.19173671,0.8082633
2024-02-01T00:00:00.000,B DIVISION,Q,peak,2762358.0,1.3890101,0.7030613,3836942.8,1942106.9,554318.3,0.20066853,0.7993315
2024-02-01T00:00:00.000,B DIVISION,R,offpeak,2953706.5,2.0409617,0.16243994,6028402.0,479799.9,694806.2,0.23523197,0.764768
2024-02-01T00:00:00.000,B DIVISION,R,peak,3751540.0,1.672832,0.0583833,6275696.0,219027.28,692196.2,0.18450989,0.8154901
2024-02-01T00:00:00.000,B DIVISION,S Fkln,offpeak,154429.6,0.54535395,0.06719561,84218.8,10376.991,4711.7,0.030510342,0.96948963
2024-02-01T00:00:00.000,B DIVISION,S Fkln,peak,151716.1,0.32192242,0.0659101,48840.816,9999.624,2695.2,0.01776476,0.98223525
2024-02-01T00:00:00.000,B DIVISION,S Rock,offpeak,22423.6,0.5546524,-1.2009424,12437.304,-26929.453,1673.9,0.07464903,0.92535096
